ap_orig,ap_dest,enmu_base,enmu_nec,ours_current,unreached_current,ours_base,unreached_base,ours_nec,unreached_nec
5300108005004,5300108005045,88.25613453014954,91.62728052869542,100.80013453282992,0.017430735365077665,100.80013453282992,0.017430735365077665,100.7712058503207,0.017430735365077665
5300108005004,5300108005047,45.52574371694982,42.1888786721707,62.806351649521105,0.037850122164650446,62.806351649521105,0.037850122164650446,62.806351649521105,0.037850122164650446
5221858003001,5300108005006,28.80689508802613,28.46444106901429,112.57779587040676,0.0072286859864190145,112.57779587040676,0.0072286859864190145,108.42973338825574,0.0072286859864190145
5221858003001,5300108005005,30.66813922175469,30.612496580223574,98.44827260496992,0.0,98.44827260496992,0.0,97.25195057094886,0.0
5221858003001,5300108005040,31.135222731881036,21.350911304189875,85.94329326635226,0.0,85.94329326635226,0.0,79.53703451655683,0.0
5221858003001,5300108005041,18.60199768330438,17.137550425788447,86.3599480383824,0.0,86.3599480383824,0.0,83.84549969665494,0.0
5221858003001,5300108005045,104.5302911689254,70.02006314288073,149.23951973314547,0.12571129813884174,149.23951973314547,0.12571129813884174,143.4716658324917,0.01832209114259986
5221858003001,5300108005047,79.9215010755074,41.15696957177049,127.27917719277951,0.04040268750957421,127.27917719277951,0.04040268750957421,115.46510521746995,0.04040268750957421
5221858003004,5300108005006,29.550665563104044,28.82107754899552,81.78610148972034,0.0008310091226431116,81.78610148972034,0.0008310091226431116,78.93533473247432,0.0008310091226431116
5221858003004,5300108005005,29.53826924005113,29.520112296703033,65.19951258876239,0.0,65.19951258876239,0.0,65.06815280775695,0.0
5221858003004,5300108005040,30.44992945415646,25.341513269852634,66.5986379957975,0.0,66.5986379957975,0.0,60.93344995091642,0.0
5221858003004,5300108005041,16.928770948689134,15.84558845935425,52.103276733776,0.0,52.103276733776,0.0,51.8770177600938,0.0
5221858003004,5300108005045,109.9053829790894,76.84658368753594,133.36548852532948,0.013630677703338145,133.36548852532948,0.013630677703338145,118.2001273276547,0.013630677703338145
5221858003004,5300108005047,78.33257996227574,44.817854697187336,106.57608598018778,0.0404026875095741,106.57608598018778,0.0404026875095741,92.79861967295064,0.0404026875095741
5221858003003,5300108005006,28.673351914959454,28.382726909024655,111.5981226844281,0.007316882023396087,111.5981226844281,0.007316882023396087,95.77546227370806,0.007316882023396087
5221858003003,5300108005005,30.754360809144757,30.701483570112643,93.63860771805548,0.0,93.63860771805548,0.0,89.63467328755284,0.0
5221858003003,5300108005040,31.790434931526757,21.96267123471976,90.34617708466244,0.0,90.34617708466244,0.0,61.36871342093191,0.0
5221858003003,5300108005041,19.138358693267335,17.70925220415836,81.06816427133302,0.0,81.06816427133302,0.0,71.7733847249077,0.0
5221858003003,5300108005045,106.28796662508499,70.912754145176,157.21537200574198,0.1402703217371173,157.21537200574198,0.1402703217371173,117.83403502090157,0.014247519892848115
5221858003003,5300108005047,79.90111290885311,42.003465237988614,132.7208234859558,0.0404026875095741,132.7208234859558,0.0404026875095741,92.6079274522768,0.0404026875095741
5221858003006,5300108005006,28.562560861306455,28.205379403559007,88.10053846445948,0.0017883194121834922,88.10053846445948,0.0017883194121834922,80.7827011257278,0.0017883194121834922
5221858003006,5300108005005,30.337581771263416,30.286926383092013,72.06858131305388,0.0,72.06858131305388,0.0,71.26261317298474,0.0
5221858003006,5300108005040,30.98175479062713,21.85289613793073,68.10551176818727,0.0,68.10551176818727,0.0,53.51237727671755,0.0
