processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini_periphery,delta_house_values_periphery,delta_median_affordability_periphery,total_pop,n_municipalities
JOAO PESSOA,high_inactive,high,False,9,-0.016010568353480407,3.7780591940528505,-0.0036317049237922167,3449.633333333333,3
JOAO PESSOA,low_active,low,True,0,0.014041210649433028,17.586034398540946,-0.0014257650967739823,3362.9333333333334,3
JOAO PESSOA,low_active,low,True,1,0.00797440677119742,-26.677910418123126,-0.007315973316688304,3337.6666666666665,3
JOAO PESSOA,low_active,low,True,2,-0.002103976670883466,-5.426104363077192,-0.0007147399173899478,3412.2833333333333,3
JOAO PESSOA,low_active,low,True,3,0.024617955280159247,-6.506553342658118,-0.00029918864870503965,3407.883333333333,3
JOAO PESSOA,low_active,low,True,4,-0.015512485111897335,-3.890417928980384,-0.005634776548144268,3433.95,3
JOAO PESSOA,low_active,low,True,5,-0.021424165181861587,-4.571674381081676,-0.003384332729845333,3339.383333333333,3
JOAO PESSOA,low_active,low,True,6,0.003704393221493418,-2.855769870095907,0.00582332086115758,3376.85,3
JOAO PESSOA,low_active,low,True,7,0.0014865057070654495,0.8117321572492368,0.004433604804625899,3356.95,3
JOAO PESSOA,low_active,low,True,8,-0.021282778435101766,-10.682107864338121,-0.0018770955782196474,3408.883333333333,3
JOAO PESSOA,low_active,low,True,9,-0.01073266001700664,4.989291988681578,0.003924804704364723,3449.633333333333,3
JOAO PESSOA,low_inactive,low,False,0,0.01380540125353527,6.066423650979297,0.0023995771936867324,3362.9333333333334,3
JOAO PESSOA,low_inactive,low,False,1,0.02719585798462001,-19.372736233230142,-0.006034262451479741,3337.6666666666665,3
JOAO PESSOA,low_inactive,low,False,2,-0.010053904073681506,-5.217785663233,0.002297118704728498,3412.2833333333333,3
JOAO PESSOA,low_inactive,low,False,3,-0.0068990119314856655,0.17003464744326802,0.002213341390305818,3407.883333333333,3
JOAO PESSOA,low_inactive,low,False,4,0.000990030083593466,5.719747806866401,0.004707532765474167,3433.95,3
JOAO PESSOA,low_inactive,low,False,5,0.010575136485611931,-15.304154038004357,0.004576532032943535,3339.383333333333,3
JOAO PESSOA,low_inactive,low,False,6,-0.00268779358804146,7.054813069955058,0.0005154710962550545,3376.85,3
JOAO PESSOA,low_inactive,low,False,7,0.008630112536015668,-8.10644606463208,-0.0018126596409439135,3356.95,3
JOAO PESSOA,low_inactive,low,False,8,-0.01301613904194761,-7.324067005079879,-0.004093531361442896,3408.883333333333,3
JOAO PESSOA,low_inactive,low,False,9,-0.0006116125787925949,1.415632540173373,0.005849301658871959,3449.633333333333,3
JOAO PESSOA,medium_active,medium,True,0,0.028651277869188255,13.907482334535995,-0.004139379514412017,3362.9333333333334,3
JOAO PESSOA,medium_active,medium,True,1,0.02117426039482005,-23.695953900928803,-0.0014889046103398924,3337.6666666666665,3
JOAO PESSOA,medium_active,medium,True,2,0.017941272250089936,-2.4648790367642603,-0.00018824351330405827,3412.2833333333333,3
JOAO PESSOA,medium_active,medium,True,3,0.018901547881627408,7.208353640986013,0.005336994621702301,3407.883333333333,3
JOAO PESSOA,medium_active,medium,True,4,-0.004869993391154634,-3.656797268532666,-0.004174072451307289,3433.95,3
JOAO PESSOA,medium_active,medium,True,5,-0.010358742349302669,-18.522469937396963,-0.004476888399554816,3339.383333333333,3
JOAO PESSOA,medium_active,medium,True,6,-0.010359097778501676,7.349961976727148,0.0030650602990459574,3376.85,3
JOAO PESSOA,medium_active,medium,True,7,-0.002403316535678049,3.689197737695085,0.006141966591284089,3356.95,3
JOAO PESSOA,medium_active,medium,True,8,-0.03575137452147088,-2.752984621552516,-0.0026014487454347215,3408.883333333333,3
JOAO PESSOA,medium_active,medium,True,9,0.0019131678245997243,4.2383103432893225,0.004288657521330776,3449.633333333333,3
MACAPA,high_active,high,True,0,0.005836666666666657,10.635633333333345,-0.007274100000000006,1211.7666666666667,1
MACAPA,high_active,high,True,1,-0.0013699999999999823,17.078599999999994,0.018322966666666662,1167.2,1
MACAPA,high_active,high,True,2,0.006954999999999989,16.109200000000016,0.0026074333333333255,1203.6833333333334,1
MACAPA,high_active,high,True,3,-0.02096500000000001,0.11156666666664704,0.0009172166666666648,1201.9666666666667,1
MACAPA,high_active,high,True,4,0.02484166666666665,-5.988183333333353,-0.007113983333333323,1203.95,1
MACAPA,high_active,high,True,5,-0.008838333333333337,1.6773666666666713,0.0012881000000000004,1189.2,1
MACAPA,high_active,high,True,6,0.001423333333333332,-1.365333333333325,-0.001569183333333335,1202.7,1
MACAPA,high_active,high,True,7,-0.022293333333333387,11.43474999999998,0.001817649999999997,1203.4166666666667,1
MACAPA,high_active,high,True,8,-0.00016166666666672658,-2.2302500000000123,-0.0016661166666666685,1204.2,1
