cod_ibge,ano,recursos_fgts,recursos_sbpe
120060,2009,113032.0,226064.0
120060,2010,414420.0,828840.0
120060,2011,379824.0,759648.0
120060,2012,1809898.72,3619797.44
120060,2013,2433552.48,4867104.96
120060,2014,381690.2400000001,763380.4800000002
120060,2015,398474.92,796949.84
120060,2016,92791.96,185583.92
120060,2017,84428.76000000001,168857.52000000002
120060,2018,20074.44,40148.88
120060,2023,81032.4,162064.8
120060,2024,4238.32,8476.64
120070,2013,191867.36,383734.72
120070,2014,15474.92,30949.84
120080,2011,0.0,0.0
120080,2012,52932.16,105864.32
130002,2011,0.0,0.0
130002,2012,30740.88,61481.76
130002,2025,109078.76,218157.52
130030,2013,135839.96000000002,271679.92000000004
130030,2014,618341.36,1236682.72
130030,2015,481319.8000000001,962639.6000000002
130030,2016,273056.68,546113.36
130030,2017,89810.4,179620.8
130030,2018,169261.68,338523.36
130030,2019,0.0,0.0
130030,2024,0.0,0.0
130060,2010,35940.0,71880.0
130060,2012,0.0,0.0
130060,2013,17789.84,35579.68
130060,2014,18176.44,36352.88
130060,2015,18176.44,36352.88
130070,2017,0.0,0.0
130080,2013,162382.68,324765.36
130080,2014,689211.7599999999,1378423.5199999998
130080,2015,2436139.639999999,4872279.279999998
130080,2016,1399189.5599999998,2798379.1199999996
130080,2017,685504.2400000001,1371008.4800000002
130080,2018,393497.16,786994.32
130110,2009,0.0,0.0
130110,2010,34420.0,68840.0
130110,2012,48017.92,96035.84
130110,2014,112945.16,225890.32
130110,2015,102834.8,205669.6
130110,2016,37996.44,75992.88
130110,2017,18651.28,37302.56
130110,2018,21528.08,43056.16
130110,2019,22087.96,44175.92
130110,2020,0.0,0.0
130120,2011,0.0,0.0
130120,2012,250412.80000000005,500825.6000000001
130120,2013,555775.68,1111551.36
130120,2014,986821.12,1973642.24
130120,2015,402307.76,804615.52
130120,2016,50087.92,100175.84
130120,2017,54838.63999999999,109677.27999999998
130120,2018,200410.0,400820.0
130120,2022,60262.84,120525.68
130120,2024,78639.0,157278.0
130165,2010,124256.0,248512.0
130165,2011,32000.0,64000.0
130165,2013,190616.48,381232.96
130165,2014,139409.04,278818.08
130165,2015,179170.68,358341.36
130165,2017,79283.2,158566.4
130165,2024,0.0,0.0
130170,2009,52140.0,104280.0
130170,2013,47368.16,94736.32
130170,2014,0.0,0.0
130170,2015,111008.0,222016.0
130170,2016,63999.96,127999.92
130170,2017,0.0,0.0
130170,2018,0.0,0.0
130170,2020,0.0,0.0
130170,2022,0.0,0.0
130170,2023,0.0,0.0
130170,2024,0.0,0.0
130170,2025,60619.12,121238.24
130185,2013,4686387.080000002,9372774.160000004
130185,2014,2741758.68,5483517.36
130185,2015,4420903.399999997,8841806.799999993
130185,2016,1313961.4400000002,2627922.8800000004
130185,2017,962794.0799999998,1925588.1599999997
130185,2018,2668319.840000001,5336639.680000002
130185,2019,3120342.88,6240685.76
130185,2020,6255330.519999999,12510661.039999997
130185,2021,6948170.239999999,13896340.479999999
130185,2022,4841098.079999999,9682196.159999998
130185,2023,4137729.520000001,8275459.040000002
130185,2024,382873.96,765747.92
130185,2025,69998.12,139996.24
130190,2009,360908.0,721816.0
130190,2010,612712.0,1225424.0
130190,2011,88000.0,176000.0
