sector;concurb_name;participation
Construction;ITAJUBA;0,03189479533246898
Construction;ITAPETININGA;0,03576533650982728
Construction;ITAPIPOCA;0,018511967928310342
Construction;ITATIBA;0,08194483142936751
Construction;ITU - SALTO;0,02662356669254362
Construction;JARAGUA DO SUL;0,02689100621089595
Construction;JAU;0,015303443274736817
Construction;JEQUIE;0,025638702663526
Construction;JI-PARANA;0,05904059040590406
Construction;JOAO PESSOA;0,07838489390550003
Construction;JOINVILLE;0,0423328517010377
Construction;JUAZEIRO DO NORTE;0,04050252844500632
Construction;JUIZ DE FORA;0,07208900087548846
Construction;JUNDIAI;0,03977357970326939
Construction;LAGES;0,05652794669768917
Construction;LAJEADO;0,049337905373363
Construction;LAVRAS;0,0663287955016277
Construction;LIMEIRA;0,03971770884621697
Construction;LINHARES;0,033297159948122074
Construction;LONDRINA;0,06262210028503411
Construction;MACAE - RIO DAS OSTRAS;0,07231677189129837
Construction;MACAPA;0,045506514909615284
Construction;MACEIO;0,09166864776570373
Construction;MANAUS;0,05110193173140973
Construction;MARABA;0,12971613366870283
Construction;MARILIA;0,07309398276006361
Construction;MARINGA;0,06080474549953904
Construction;MOGI GUACU - MOGI MIRIM;0,025825936013773833
Construction;MONTES CLAROS;0,0741145696372469
Construction;MOSSORO;0,10525488552417876
Construction;MURIAE;0,05794354007830208
Construction;NATAL;0,07891317090434534
Construction;NOVA FRIBURGO;0,02952838271334356
Construction;OURINHOS;0,04174017491835892
Construction;PALMAS;0,05486151719738451
Construction;PARANAGUA;0,024735194992778046
Construction;PARAUAPEBAS;0,21688140941362083
Construction;PARINTINS;0,002509966041635907
Construction;PARNAIBA;0,10460003937266225
Construction;PASSO FUNDO;0,0502662043615832
Construction;PASSOS;0,06827650054004011
Construction;PATOS;0,058841940532081374
Construction;PATOS DE MINAS;0,0779478374137778
Construction;PAULO AFONSO;0,04459919988146392
Construction;PELOTAS;0,0620241461822928
Construction;PETROLINA;0,07764883006084938
Construction;PETROPOLIS;0,04996564375818392
Construction;PIRACICABA;0,048684170168389405
Construction;POCOS DE CALDAS;0,057709281010251884
Construction;PONTA GROSSA;0,05235687300203429
Construction;PORTO ALEGRE;0,05028972841261298
Construction;PORTO SEGURO;0,04221244860885362
Construction;PORTO VELHO;0,2058244679417014
Construction;POUSO ALEGRE;0,04238323236271253
Construction;PRESIDENTE PRUDENTE;0,04637385341083052
Construction;RECIFE;0,0980654527216785
Construction;RESENDE;0,04028938007114593
Construction;RIBEIRAO PRETO;0,07540741132035604
Construction;RIO BRANCO;0,07484170492346913
Construction;RIO CLARO;0,026638564444834756
Construction;RIO DE JANEIRO;0,055628712836993194
Construction;RIO GRANDE;0,04094638332037032
Construction;RIO VERDE;0,039261164761944925
Construction;RONDONOPOLIS;0,043387856944829495
Construction;SALVADOR;0,11361859103548323
Construction;SANTA CRUZ DO SUL;0,057185358597312656
Construction;SANTA MARIA;0,05741097612065354
Construction;SANTAREM;0,040269461077844314
Construction;SAO BENTO DO SUL - RIO NEGRINHO;0,0168923412518954
Construction;SAO CARLOS;0,038839106593553566
Construction;SAO JOAO DEL REI;0,06511148585347575
Construction;SAO JOSE DO RIO PRETO;0,06059985736548773
Construction;SAO JOSE DOS CAMPOS;0,06071605174792949
Construction;SAO LUIS;0,14408672568441488
Construction;SAO MATEUS;0,05327909028526615
Construction;SAO PAULO;0,055987287992198057
Construction;SAO ROQUE - MAIRINQUE;0,020612260477899078
Construction;SERTAOZINHO;0,04100188711614342
Construction;SETE LAGOAS;0,04175052989687049
Construction;SINOP;0,07099058325425213
Construction;SOBRAL;0,03502635030952984
Construction;SOROCABA;0,05689625721226845
Construction;TAQUARA - PAROBE - IGREJINHA;0,018286964676461393
Construction;TATUI;0,036358471807981824
Construction;TEIXEIRA DE FREITAS;0,09758752830517331
Construction;TEOFILO OTONI;0,13936524187356028
Construction;TERESINA;0,09722558782689637
Construction;TERESOPOLIS;0,0644088669950739
Construction;TOLEDO;0,037047325622506184
Construction;TRAMANDAI - OSORIO;0,06530291109362707
Construction;TRES LAGOAS;0,038492692375418205
Construction;TRES RIOS - PARAIBA DO SUL;0,03827428437353355
Construction;TUBARAO - LAGUNA;0,04492636675408513
Construction;UBA;0,01931434089811685
Construction;UBERABA;0,09691899362761286
Construction;UBERLANDIA;0,07198533783525793
Construction;UMUARAMA;0,04582537115978245
Construction;VARGINHA;0,03892320556739406
Construction;VITORIA;0,0849517782736934
Construction;VITORIA DA CONQUISTA;0,08139184664174477
Construction;VITORIA DE SANTO ANTAO;0,016558072807699206
Construction;VOLTA REDONDA - BARRA MANSA;0,07572323690174643
Financial;ABAETETUBA;0,012193263222069806
Financial;ACAILANDIA;0,008362676056338027
Financial;ALAGOINHAS;0,007734063505788538
Financial;AMERICANA - SANTA BARBARA D'OESTE;0,011928135621846433
Financial;ANAPOLIS;0,010980315775378285
Financial;ANGRA DOS REIS;0,005805762036632172
Financial;APUCARANA;0,01049426510582949
Financial;ARACAJU;0,014560360210650429
Financial;ARACATUBA;0,018033740546829553
Financial;ARAGUAINA;0,01192381562099872
